,index,title,page_no
0,1,What is Physics?,3
1,2,Units,9
2,2.1,Introduction,9
3,2.2,Unit Systems,9
4,2.2.1,SI Units,9
5,2.2.2,The Other Systems of Units,10
6,2.3,Writing Units as Words or Symbols,10
7,2.4,Combinations of SI Base Units,12
8,2.5,"Rounding, Scientific Notation and Significant Figures",12
9,2.5.1,Rounding Off,12
10,2.5.2,Error Margins,13
11,2.5.3,Scientific Notation,13
12,2.5.4,Significant Figures,15
13,2.6,Prefixes of Base Units,15
14,2.7,The Importance of Units,17
15,2.8,How to Change Units,17
16,2.8.1,Two other useful conversions,19
17,2.9,A sanity test,19
18,3,Motion in One Dimension,23
19,3.1,Introduction,23
20,3.2,"Reference Point, Frame of Reference and Position",23
21,3.2.1,Frames of Reference,23
22,3.2.2,Position,25
23,3.3,Displacement and Distance,28
24,3.3.1,Interpreting Direction,29
25,3.3.2,Differences between Distance and Displacement,29
26,3.4,"Speed, Average Velocity and Instantaneous Velocity",31
27,3.4.1,Differences between Speed and Velocity,35
28,3.5,Acceleration,38
29,3.6,Description of Motion,39
30,3.6.1,Stationary Object,40
31,3.6.2,Motion at Constant Velocity,41
32,3.6.3,Motion at Constant Acceleration,46
33,3.8,Worked Examples,49
34,3.9,Equations of Motion,54
35,3.9.1,Finding the Equations of Motion,54
36,3.10,Applications in the Real-World,59
37,4,Gravity and Mechanical Energy,67
38,4.1,Weight,67
39,4.1.1,Differences between Mass and Weight,68
40,4.2,Acceleration due to Gravity,69
41,4.2.1,Gravitational Fields,69
42,4.2.2,Free fall,69
43,4.3,Potential Energy,73
44,4.4,Kinetic Energy,75
45,4.4.1,Checking units,77
46,4.5,Mechanical Energy,78
47,4.5.1,Conservation of Mechanical Energy,78
48,4.5.2,Using the Law of Conservation of Energy,79
49,4.6,Energy graphs,82
50,5,Transverse Pulses,87
51,5.1,Introduction,87
52,5.2,What is a medium?,87
53,5.3,What is a pulse?,87
54,5.3.1,Pulse Length and Amplitude,88
55,5.3.2,Pulse Speed,89
56,5.4,Graphs of Position and Velocity,90
57,5.4.1,Motion of a Particle of the Medium,90
58,5.4.2,Motion of the Pulse,92
59,5.5,Transmission and Reflection of a Pulse at a Boundary,96
60,5.6,Reflection of a Pulse from Fixed and Free Ends,97
61,5.6.1,Reflection of a Pulse from a Fixed End,97
62,5.6.2,Reflection of a Pulse from a Free End,98
63,5.7,Superposition of Pulses,99
64,6,Transverse Waves,105
65,6.1,Introduction,105
66,6.2,What is a transverse wave?,105
67,6.2.1,Peaks and Troughs,106
68,6.2.2,Amplitude and Wavelength,107
69,6.2.3,Points in Phase,109
70,6.2.4,Period and Frequency,110
71,6.2.5,Speed of a Transverse Wave,111
72,6.3,Graphs of Particle Motion,115
73,6.4,Standing Waves and Boundary Conditions,118
74,6.4.1,Reflection of a Transverse Wave from a Fixed End,118
75,6.4.2,Reflection of a Transverse Wave from a Free End,118
76,6.4.3,Standing Waves,118
77,6.4.4,Nodes and anti-nodes,122
78,6.4.5,Wavelengths of Standing Waves with Fixed and Free Ends,122
79,6.4.6,Superposition and Interference,125
80,7,Geometrical Optics,129
81,7.1,Introduction,129
82,7.2,Light Rays,129
83,7.2.1,Shadows,132
84,7.2.2,Ray Diagrams,132
85,7.3,Reflection,132
86,7.3.1,Terminology,133
87,7.3.2,Law of Reflection,133
88,7.3.3,Types of Reflection,135
89,7.4,Refraction,137
90,7.4.1,Refractive Index,139
91,7.4.2,Snell's Law,139
92,7.4.3,Apparent Depth,143
93,7.5,Mirrors,146
94,7.5.1,Image Formation,146
95,7.5.2,Plane Mirrors,147
96,7.5.3,Ray Diagrams,148
97,7.5.4,Spherical Mirrors,150
98,7.5.5,Concave Mirrors,150
99,7.5.6,Convex Mirrors,153
100,7.5.8,Magnification,154
101,7.6,Total Internal Reflection and Fibre Optics,156
102,7.6.1,Total Internal Reflection,156
103,7.6.2,Fibre Optics,161
104,8,Magnetism,167
105,8.1,Introduction,167
106,8.2,Magnetic fields,167
107,8.3,Permanent magnets,169
108,8.3.1,The poles of permanent magnets,169
109,8.3.2,Magnetic attraction and repulsion,169
110,8.3.3,Representing magnetic fields,170
111,8.4,The compass and the earth's magnetic field,173
112,8.4.1,The earth's magnetic field,175
113,9,Electrostatics,177
114,9.1,Introduction,177
115,9.2,Two kinds of charge,177
116,9.3,Unit of charge,177
117,9.4,Conservation of charge,177
118,9.5,Force between Charges,178
119,9.6,Conductors and insulators,181
120,9.6.1,The electroscope,182
121,9.7,Attraction between charged and uncharged objects,183
122,9.7.1,Polarisation of Insulators,183
123,10,Electric Circuits,187
124,10.1,Electric Circuits,187
125,10.1.1,Closed circuits,187
126,10.1.2,Representing electric circuits,188
127,10.2,Potential Difference,192
128,10.2.1,Potential Difference,192
129,10.2.2,Potential Difference and Parallel Resistors,193
130,10.2.3,Potential Difference and Series Resistors,194
131,10.2.4,Ohm's Law,194
132,10.2.5,EMF,195
133,10.3,Current,198
134,10.3.1,Flow of Charge,198
135,10.3.2,Current,198
136,10.3.3,Series Circuits,199
137,10.3.4,Parallel Circuits,200
138,10.4,Resistance,202
139,10.4.1,What causes resistance?,202
140,10.4.2,Resistors in electric circuits,202
141,10.5,"Instruments to Measure voltage, current and resistance",204
142,10.5.1,Voltmeter,204
143,10.5.2,Ammeter,204
144,10.5.3,Ohmmeter,204
145,10.5.4,Meters Impact on Circuit,205
146,11,Vectors,211
147,11.1,Introduction,211
148,11.2,Scalars and Vectors,211
149,11.3,Notation,211
150,11.3.1,Mathematical Representation,212
151,11.3.2,Graphical Representation,212
152,11.4,Directions,212
153,11.4.1,Relative Directions,212
154,11.4.2,Compass Directions,213
155,11.4.3,Bearing,213
156,11.5,Drawing Vectors,214
157,11.6,Mathematical Properties of Vectors,215
158,11.6.1,Adding Vectors,215
159,11.6.2,Subtracting Vectors,217
160,11.6.3,Scalar Multiplication,218
161,11.7,Techniques of Vector Addition,218
162,11.7.1,Graphical Techniques,218
163,11.7.2,Algebraic Addition and Subtraction of Vectors,223
164,11.8,Components of Vectors,228
165,11.8.1,Vector addition using components,231
166,12,"Force, Momentum and Impulse",239
167,12.1,Introduction,239
168,12.2,Force,239
169,12.2.1,What is a force?,239
170,12.2.2,Examples of Forces in Physics,240
171,12.2.3,Systems and External Forces,241
172,12.2.4,Force Diagrams,242
173,12.2.5,Free Body Diagrams,243
174,12.2.6,Finding the Resultant Force,244
175,12.3,Newton's Laws,246
176,12.3.1,Newton's First Law,247
177,12.3.2,Newton's Second Law of Motion,249
178,12.3.4,Newton's Third Law of Motion,263
179,12.3.6,Different types of forces,268
180,12.3.8,Forces in equilibrium,276
181,12.4,Forces between Masses,282
182,12.4.1,Newton's Law of Universal Gravitation,282
183,12.4.2,Comparative Problems,284
184,12.5,Momentum and Impulse,287
185,12.5.1,Vector Nature of Momentum,290
186,12.5.3,Change in Momentum,291
187,12.5.5,Newton's Second Law revisited,293
188,12.5.6,Impulse,294
189,12.5.8,Conservation of Momentum,297
190,12.5.9,Physics in Action: Impulse,300
191,12.6,Torque and Levers,302
192,12.6.1,Torque,302
193,12.6.2,Mechanical Advantage and Levers,305
194,12.6.3,Classes of levers,307
195,13,Geometrical Optics,327
196,13.1,Introduction,327
197,13.2,Lenses,327
198,13.2.1,Converging Lenses,329
199,13.2.2,Diverging Lenses,340
200,13.3,The Human Eye,344
201,13.3.1,Structure of the Eye,345
202,13.3.2,Defects of Vision,346
203,13.4,Gravitational Lenses,347
204,13.5,Telescopes,347
205,13.5.1,Refracting Telescopes,347
206,13.5.2,Reflecting Telescopes,348
207,13.5.3,Southern African Large Telescope,348
208,13.6,Microscopes,349
209,14,Longitudinal Waves,355
210,14.1,Introduction,355
211,14.2,What is a longitudinal wave?,355
212,14.3,Characteristics of Longitudinal Waves,356
213,14.3.1,Compression and Rarefaction,356
214,14.3.2,Wavelength and Amplitude,357
215,14.3.3,Period and Frequency,357
216,14.3.4,Speed of a Longitudinal Wave,358
217,14.4,"Graphs of Particle Position, Displacement, Velocity and Acceleration",359
218,14.5,Sound Waves,360
219,14.6,Seismic Waves,361
220,15,Sound,363
221,15.1,Introduction,363
222,15.2,Characteristics of a Sound Wave,363
223,15.2.1,Pitch,364
224,15.2.2,Loudness,364
225,15.2.3,Tone,364
226,15.3,Speed of Sound,365
227,15.4,Physics of the Ear and Hearing,365
228,15.4.1,Intensity of Sound,366
229,15.5,Ultrasound,367
230,15.6,SONAR,368
231,15.6.1,Echolocation,368
232,16,The Physics of Music,373
233,16.1,Introduction,373
234,16.2,Standing Waves in String Instruments,373
235,16.3,Standing Waves in Wind Instruments,377
236,16.4,Resonance,382
237,16.5,Music and Sound Quality,384
238,17,Electrostatics,387
239,17.1,Introduction,387
240,17.2,Forces between charges Coulomb's Law,387
241,17.3,Electric field around charges,392
242,17.3.1,Electric field lines,393
243,17.3.2,Positive charge acting on a test charge,393
244,17.3.3,Combined charge distributions,394
245,17.3.4,Parallel plates,397
246,17.4,Electrical potential energy and potential,400
247,17.4.1,Electrical potential,400
248,17.4.2,Real-world application: lightning,402
249,17.5,Capacitance and the parallel plate capacitor,403
250,17.5.1,Capacitors and capacitance,403
251,17.5.2,Dielectrics,404
252,17.5.3,Physical properties of the capacitor and capacitance,404
253,17.5.4,Electric field in a capacitor,405
254,17.6,Capacitor as a circuit device,406
255,17.6.1,A capacitor in a circuit,406
256,17.6.2,Real-world applications: capacitors,407
257,18,Electromagnetism,413
258,18.1,Introduction,413
259,18.2,Magnetic field associated with a current,413
260,18.2.1,Real-world applications,418
261,18.3,Current induced by a changing magnetic field,420
262,18.3.1,Real-life applications,422
263,18.4,Transformers,423
264,18.4.1,Real-world applications,425
265,18.5,Motion of a charged particle in a magnetic field,425
266,18.5.1,Real-world applications,426
267,19,Electric Circuits,429
268,19.1,Introduction,429
269,19.2,Ohm's Law,429
270,19.2.1,Definition of Ohm's Law,429
271,19.2.2,Ohmic and non-ohmic conductors,431
272,19.2.3,Using Ohm's Law,432
273,19.3,Resistance,433
274,19.3.1,Equivalent resistance,433
275,19.3.2,Use of Ohm's Law in series and parallel Circuits,438
276,19.3.3,Batteries and internal resistance,440
277,19.4,Series and parallel networks of resistors,442
278,19.5,Wheatstone bridge,445
279,20,Electronic Properties of Matter,451
280,20.1,Introduction,451
281,20.2,Conduction,451
282,20.2.1,Metals,453
283,20.2.2,Insulator,453
284,20.2.3,Semi-conductors,454
285,20.3,Intrinsic Properties and Doping,454
286,20.3.1,Surplus,455
287,20.3.2,Deficiency,455
288,20.4,The p-n junction,457
289,20.4.1,Differences between p- and n-type semi-conductors,457
290,20.4.2,The p-n Junction,457
291,20.4.3,Unbiased,457
292,20.4.4,Forward biased,457
293,20.4.5,Reverse biased,458
294,20.4.6,Real-World Applications of Semiconductors,458
295,21,Motion in Two Dimensions,463
296,21.1,Introduction,463
297,21.2,Vertical Projectile Motion,463
298,21.2.1,Motion in a Gravitational Field,463
299,21.2.2,Equations of Motion,464
300,21.2.3,Graphs of Vertical Projectile Motion,467
301,21.3,Conservation of Momentum in Two Dimensions,475
302,21.4,Types of Collisions,480
303,21.4.1,Elastic Collisions,480
304,21.4.2,Inelastic Collisions,485
305,21.5,Frames of Reference,490
306,21.5.1,Introduction,490
307,21.5.2,What is a frame of reference?,491
308,21.5.3,Why are frames of reference important?,491
309,21.5.4,Relative Velocity,491
310,22,Mechanical Properties of Matter,503
311,22.1,Introduction,503
312,22.2,Deformation of materials,503
313,22.2.1,Hooke's Law,503
314,22.2.2,Deviation from Hooke's Law,506
315,22.3,"Elasticity, plasticity, fracture, creep",508
316,22.3.1,Elasticity and plasticity,508
317,22.3.2,"Fracture, creep and fatigue",508
318,22.4,Failure and strength of materials,509
319,22.4.1,The properties of matter,509
320,22.4.2,Structure and failure of materials,509
321,22.4.3,Controlling the properties of materials,509
322,22.4.4,Steps of Roman Swordsmithing,510
323,23,"Work, Energy and Power",513
324,23.1,Introduction,513
325,23.2,Work,513
326,23.3,Energy,519
327,23.3.1,External and Internal Forces,519
328,23.3.2,Capacity to do Work,520
329,23.4,Power,525
330,23.5,Important Equations and Quantities,529
331,24,Doppler Effect,533
332,24.1,Introduction,533
333,24.2,The Doppler Effect with Sound and Ultrasound,533
334,24.2.1,Ultrasound and the Doppler Effect,537
335,24.3,The Doppler Effect with Light,537
336,24.3.1,The Expanding Universe,538
337,25,Colour,541
338,25.1,Introduction,541
339,25.2,Colour and Light,541
340,25.2.1,Dispersion of white light,544
341,25.3,Addition and Subtraction of Light,544
342,25.3.1,Additive Primary Colours,544
343,25.3.2,Subtractive Primary Colours,545
344,25.3.3,Complementary Colours,546
345,25.3.4,Perception of Colour,546
346,25.3.5,Colours on a Television Screen,547
347,25.4,Pigments and Paints,548
348,25.4.1,Colour of opaque objects,548
349,25.4.2,Colour of transparent objects,548
350,25.4.3,Pigment primary colours,549
351,26,2D and 3D Wavefronts,553
352,26.1,Introduction,553
353,26.2,Wavefronts,553
354,26.3,The Huygens Principle,554
355,26.4,Interference,556
356,26.5,Diffraction,557
357,26.5.1,Diffraction through a Slit,558
358,26.6,Shock Waves and Sonic Booms,562
359,26.6.1,Subsonic Flight,563
360,26.6.2,Supersonic Flight,563
361,26.6.3,Mach Cone,566
362,27,Wave Nature of Matter,571
363,27.1,Introduction,571
364,27.2,de Broglie Wavelength,571
365,27.3,The Electron Microscope,574
366,27.3.1,Disadvantages of an Electron Microscope,577
367,27.3.2,Uses of Electron Microscopes,577
368,28,Electrodynamics,579
369,28.1,Introduction,579
370,28.2,Electrical machines generators and motors,579
371,28.2.1,Electrical generators,580
372,28.2.2,Electric motors,582
373,28.2.3,Real-life applications,582
374,28.3,Alternating Current,585
375,28.4,Capacitance and inductance,586
376,28.4.1,Capacitance,586
377,28.4.2,Inductance,586
378,29,Electronics,591
379,29.1,Introduction,591
380,29.2,Capacitive and Inductive Circuits,591
381,29.3,Filters and Signal Tuning,596
382,29.3.1,Capacitors and Inductors as Filters,596
383,29.3.2,"LRC Circuits, Resonance and Signal Tuning",596
384,29.4,Active Circuit Elements,599
385,29.4.1,The Diode,599
386,29.4.2,The Light Emitting Diode (LED),601
387,29.4.3,Transistor,603
388,29.4.4,The Operational Amplifier,607
389,29.5,The Principles of Digital Electronics,609
390,29.5.1,Logic Gates,610
391,29.6,Using and Storing Binary Numbers,616
392,29.6.1,Binary numbers,616
393,29.6.2,Counting circuits,617
394,29.6.3,Storing binary numbers,619
395,30,EM Radiation,625
396,30.1,Introduction,625
397,30.2,Particle/wave nature of electromagnetic radiation,625
398,30.3,The wave nature of electromagnetic radiation,626
399,30.4,Electromagnetic spectrum,626
400,30.5,The particle nature of electromagnetic radiation,629
401,30.6,Penetrating ability of electromagnetic radiation,631
402,30.6.1,Ultraviolet(UV) radiation and the skin,631
403,30.6.2,Ultraviolet radiation and the eyes,632
404,30.6.3,X-rays,632
405,30.6.4,Gamma-rays,632
406,31,Optical Phenomena and Properties of Matter,635
407,31.1,Introduction,635
408,31.2,The transmission and scattering of light,635
409,31.2.1,Energy levels of an electron,635
410,31.2.2,Interaction of light with metals,636
411,31.2.3,Why is the sky blue?,637
412,31.3,The photoelectric effect,638
413,31.3.1,Applications of the photoelectric effect,640
414,31.3.2,Real-life applications,642
415,31.4,Emission and absorption spectra,643
416,31.4.1,Emission Spectra,643
417,31.4.2,Absorption spectra,644
418,31.4.3,Colours and energies of electromagnetic radiation,646
419,31.4.4,Applications of emission and absorption spectra,648
420,31.5,Lasers,650
421,31.5.1,How a laser works,652
422,31.5.2,A simple laser,654
423,31.5.3,Laser applications and safety,655
