,topic_a,topic_b,relation,tfidf_score,wiki_tfidf_score
0,Differential equation,Number,1,0.0064263306337703574,0.0064263306337703574
1,Partial fraction decomposition,Arithmetic,1,0.047546626831744064,0.0
2,Equation,Quadratic equation,0,0.186873430743695,0.186873430743695
3,Mathematics,Linear inequality,0,0.0,0.0
4,Binomial theorem,Addition,1,0.0351178834864004,0.0351178834864004
5,Exponential growth,Exponential function,1,0.16509568338840908,0.16509568338840908
6,Continuous function,Mathematics,1,1.0,1.0
7,Mathematics,Vertical line test,0,0.0,0.0
8,Real number,Inequality (mathematics),0,0.0,0.0
9,Arithmetic,Mathematics,1,1.0,1.0
10,Addition,Circle,0,0.015202877140457963,0.015202877140457963
11,Line (geometry),Secant line,0,0.006701220504120186,0.006701220504120186
12,Algebra,Number,1,0.011678620094063438,0.011678620094063438
13,Circle,Geometry,1,0.011877339426256552,0.011877339426256552
14,Multiplication,Common logarithm,0,0.027181347203316674,0.027181347203316674
15,Linear equation,Equation,1,0.16817843156587678,0.16817843156587678
16,Inequality (mathematics),Mathematics,1,1.0,1.0
17,Function (mathematics),Exponential growth,0,0.014552718540005512,0.0
18,Rational number,Nth root,0,0.027181347203316674,0.0
19,Parametric equation,Equation,1,0.08340277320511848,0.08340277320511848
20,Limit of a function,Function (mathematics),1,0.04841628468808217,0.0
21,Constant function,Linear function,0,0.0440234281369358,0.0440234281369358
22,Law of sines,Line segment,1,0.03178406583341601,0.0
23,Coordinate system,Geometry,1,0.044831379872713004,0.044831379872713004
24,Sine,Mathematics,1,1.0,1.0
25,Arithmetic,Subtraction,0,0.05260172039512224,0.05260172039512224
26,Limit of a sequence,Mathematics,1,1.0,1.0
27,Exponentiation,Arithmetic,1,0.027181347203316674,0.027181347203316674
28,Function (mathematics),Periodic function,0,0.014552718540005512,0.0
29,Addition,Rational number,0,0.022568972652479747,0.022568972652479747
30,Exponentiation,Quadratic equation,0,0.0,0.0
31,Law of sines,Sine,1,0.2533998828760725,0.2533998828760725
32,Constant function,Even and odd functions,0,0.021811752080828632,0.0
33,Linear equation,Quadratic equation,0,0.186873430743695,0.186873430743695
34,Multiplication,Rational number,0,0.022568972652479747,0.022568972652479747
35,Linear equation,Mathematics,1,1.0,1.0
36,Mathematics,Continuous function,0,0.0,0.0
37,Algebra,Mathematics,1,1.0,1.0
38,Real line,Geometry,1,0.007066265228279215,0.007066265228279215
39,Position (vector),Vector (mathematics and physics),1,0.014552718540005512,0.0
40,Sine,Law of sines,0,0.04860946401770085,0.04860946401770085
41,Multiplicative inverse,Multiplication,1,0.005889363580115375,0.005889363580115375
42,Polynomial,Circle,0,0.026493249134474543,0.0
43,Function (mathematics),Nth root,0,0.014552718540005512,0.014552718540005512
44,Arithmetic,Algebraic expression,0,0.024419477659284983,0.0
45,Conic section,Mathematics,1,1.0,1.0
46,Addition,Linear inequality,0,0.0,0.0
47,Trigonometric functions,Inverse trigonometric functions,0,0.0,0.0
48,Arithmetic,Exponentiation,0,0.027181347203316674,0.027181347203316674
49,Coordinate system,Complex number,0,0.06486882360398104,0.06486882360398104
50,Secant line,Curve,1,0.06185713993182765,0.06185713993182765
51,Unit circle,Nth root,0,0.027181347203316674,0.0
52,Geometry,Vector (mathematics and physics),0,0.0830996518039371,0.0
53,Vector (mathematics and physics),Euclidean vector,0,0.7831457651878471,0.7831457651878471
54,Binomial,Binomial theorem,0,0.04949126835362287,0.04949126835362287
55,Multiplicative inverse,Mathematics,1,1.0,1.0
56,Complex number,Zero of a function,0,0.0,0.0
57,System of linear equations,Mathematics,1,1.0,1.0
58,Right triangle,Line (geometry),1,0.00422968768256285,0.0
59,Exponentiation,Multiplicative inverse,0,0.020978786735308008,0.0
60,Spherical law of cosines,Geometry,1,0.011877339426256552,0.011877339426256552
61,Mathematics,Common logarithm,0,0.0,0.0
62,Multiplication,Binomial,0,0.008743321114897696,0.0
63,Logarithm,Mathematics,1,1.0,1.0
64,Geometry,System of linear equations,0,0.06481818439742056,0.0
65,Exponential growth,Number,1,0.008662421474567911,0.008662421474567911
66,Geometry,Polar coordinate system,0,0.06711127343186858,0.0
67,Line (geometry),Real line,0,0.028542312710140245,0.0
68,Linear inequality,Calculus,1,1.0,0.0
69,Injective function,Function (mathematics),1,0.29939776046086103,0.29939776046086103
70,Exponentiation,Real number,0,0.02068204141099673,0.02068204141099673
71,Geometric series,Geometry,0,0.17444842282314313,0.17444842282314313
72,Mathematics,Cross product,0,0.0,0.0
73,Exponentiation,Imaginary number,0,0.027181347203316674,0.0
74,Series (mathematics),Calculus,1,1.0,1.0
75,Dot product,Arithmetic,1,0.047546626831744064,0.0
76,Multiplication,Function (mathematics),0,0.020713232472835755,0.0
77,Addition,Mathematics,1,1.0,1.0
78,Mathematics,Algebraic equation,0,0.0,0.0
79,Logarithm,Number,1,0.002940863171386435,0.002940863171386435
80,Polynomial,Number,1,0.01269592149598534,0.01269592149598534
81,Exponential function,Mathematics,1,1.0,1.0
82,Real number,Nth root,0,0.027181347203316674,0.0
83,Even and odd functions,Mathematics,1,1.0,1.0
84,Trigonometry,Geometry,1,0.011877339426256552,0.011877339426256552
85,Polynomial,Function (mathematics),0,0.08831776706259918,0.0
86,Coordinate system,Real number,0,0.044777013448206365,0.044777013448206365
87,Mathematics,Inverse trigonometric functions,0,0.0,0.0
88,Plane curve,Geometry,1,0.011877339426256552,0.011877339426256552
89,Line (geometry),Transformation (function),0,0.020978786735308008,0.0
90,Function composition,Even and odd functions,0,0.021811752080828632,0.0
91,Binomial,Arithmetic,1,0.047546626831744064,0.047546626831744064
92,Circle,Quadratic equation,0,0.023914773678887016,0.0
93,Partial fraction decomposition,Multiplication,1,0.016395988207041204,0.0
94,Function (mathematics),Equation solving,0,0.014552718540005512,0.0
95,Addition,Multiplication,0,0.02075441545195089,0.02075441545195089
96,Arithmetic,Common logarithm,0,0.036393805266710016,0.0
97,Exponentiation,Algebraic expression,0,0.02213853743836276,0.0
98,Inverse trigonometric functions,Trigonometry,1,0.04031127057473953,0.04031127057473953
99,Unit circle,Complex number,0,0.06045237685072737,0.06045237685072737
100,Geometry,Line–line intersection,0,0.0220117140684679,0.0
101,Mathematics,Simultaneous equations,0,0.0,0.0
102,Inverse trigonometric functions,Geometry,1,0.011877339426256552,0.011877339426256552
103,Circle,Real line,0,0.044777013448206365,0.0
104,Number,Exponentiation,0,0.027181347203316674,0.027181347203316674
105,Secant line,Derivative,0,0.024124393814832668,0.024124393814832668
106,Linear equation,Geometry,1,0.011877339426256552,0.011877339426256552
107,Multiplication,Linear inequality,0,0.0,0.0
108,Polynomial,Mathematics,1,1.0,1.0
109,Real line,Rational number,1,0.022568972652479747,0.022568972652479747
110,Common logarithm,Mathematics,1,1.0,1.0
111,Addition,Number,1,0.07028290718452644,0.07028290718452644
112,Spherical law of cosines,Mathematics,1,1.0,1.0
113,Exponentiation,Fundamental theorem of algebra,0,0.027181347203316674,0.0
114,Euclidean vector,Geometry,0,0.012633322840940492,0.012633322840940492
115,Limit of a function,Calculus,1,1.0,1.0
116,Mathematics,Complex plane,0,0.0,0.0
117,Mathematics,Angle,0,0.0,0.0
118,Addition,Sum,0,0.004557307806834618,0.004557307806834618
119,Geometry,Trigonometry,0,0.028244953032986138,0.028244953032986138
120,Equation,Parametric equation,0,0.0,0.0
121,Complex number,Number,1,0.04448998131071786,0.04448998131071786
122,Quadratic function,Graph of a function,0,0.07647879930443771,0.0
123,Number,Algebra,0,0.005288402029124772,0.005288402029124772
124,Geometry,Mathematics,1,1.0,1.0
125,Position (vector),Euclidean vector,1,0.014552718540005512,0.014552718540005512
126,Mathematics,Even and odd functions,0,0.0,0.0
127,Monotonic function,Mathematics,1,1.0,1.0
128,Mathematics,Real line,0,0.0,0.0
129,Periodic function,Mathematics,1,1.0,1.0
130,Mathematics,Line segment,0,0.0,0.0
131,Exponential growth,Function (mathematics),1,0.0849665510411124,0.0
132,Polar coordinate system,Geometry,1,0.044831379872713004,0.044831379872713004
133,Function (mathematics),Domain of a function,0,0.06256081370209271,0.06256081370209271
134,Equation,Inequality (mathematics),0,0.0,0.0
135,Polynomial,Equation,0,0.008565111497316405,0.008565111497316405
136,Equation solving,Number,1,0.0064263306337703574,0.0064263306337703574
137,Addition,Binomial theorem,0,0.020713232472835755,0.0
138,Mathematics,Product (mathematics),0,0.0,0.0
139,Complex number,Multiplicative inverse,0,0.020978786735308008,0.0
140,Linear inequality,Mathematics,1,1.0,1.0
141,Fundamental theorem of algebra,Mathematics,1,1.0,1.0
142,Logarithm,Sine,0,0.04095919218635853,0.04095919218635853
143,Mathematics,Geometric series,0,0.0,0.0
144,Rational function,Real number,0,0.003868583285510181,0.003868583285510181
145,Trigonometry,Sine,0,0.04249563253201216,0.04249563253201216
146,Mathematics,Algebraic expression,0,0.0,0.0
147,Algebraic equation,Number,1,0.0064263306337703574,0.0064263306337703574
148,Arithmetic,Formula,0,0.027348287857335785,0.0
149,Equation,Linear inequality,0,0.0,0.0
150,Multiplication,Multiplicative inverse,0,0.020713232472835755,0.020713232472835755
151,Algebraic expression,Polynomial,1,0.2549850254344783,0.2549850254344783
152,Line segment,Right triangle,0,0.026493249134474543,0.0
153,Rational number,Sine,0,0.020713232472835755,0.020713232472835755
154,Line (geometry),Equation,0,0.10314545864980837,0.10314545864980837
155,Dot product,Multiplication,1,0.04947065407296915,0.04947065407296915
156,Linear function,Equation,0,0.022881419260663505,0.022881419260663505
157,Real line,Mathematics,1,1.0,1.0
158,Cross product,Number,1,0.001204936993831942,0.001204936993831942
159,Geometry,Pythagorean trigonometric identity,0,0.028244953032986138,0.0
160,Geometric series,Calculus,1,1.0,1.0
161,Number,Extended real number line,0,0.0,0.0
162,Matrix ring,Number,1,0.00802362668725085,0.00802362668725085
163,Parametric equation,Mathematics,1,1.0,1.0
164,Calculus,Linear function,0,0.0,0.0
165,Mathematics,Circle,0,0.0,0.0
166,Addition,Binomial,0,0.008743321114897696,0.0
167,Expression (mathematics),Mathematics,1,1.0,1.0
168,Algebraic expression,Rational number,0,0.036393805266710016,0.036393805266710016
169,Common logarithm,Multiplication,1,0.008197994103520602,0.008197994103520602
170,Function (mathematics),Even and odd functions,0,0.021811752080828632,0.0
171,Inequality (mathematics),Equation,1,0.011511769938594684,0.011511769938594684
172,Number,Addition,0,0.0351178834864004,0.0351178834864004
173,Geometry,Inverse trigonometric functions,0,0.0,0.0
174,Real number,Domain of a function,0,0.020713232472835755,0.0
175,Transformation (function),Geometry,0,0.011877339426256552,0.011877339426256552
176,Rationalisation (mathematics),Nth root,0,0.036393805266710016,0.0
177,Trigonometry,Law of sines,0,0.04860946401770085,0.04860946401770085
178,Number,Differential equation,0,0.0,0.0
179,Mathematics,Series (mathematics),0,0.0,0.0
180,Secant line,Calculus,0,1.0,1.0
181,Vertical line test,Function (mathematics),1,0.17767581016706693,0.0
182,Exponentiation,Common logarithm,0,0.13579211677089767,0.0
183,Mathematics,Formula,0,0.0,0.0
184,Exponential function,Exponentiation,1,0.1698744637159193,0.1698744637159193
185,Number,Common logarithm,0,0.027181347203316674,0.0
186,Angle,Mathematics,1,1.0,1.0
187,Plane (geometry),Polar coordinate system,0,0.04949126835362287,0.0
188,Real line,Number,1,0.07028290718452644,0.07028290718452644
189,Subtraction,Arithmetic,1,0.027181347203316674,0.027181347203316674
190,Product (mathematics),Dot product,0,0.0,0.0
191,Number,Polar coordinate system,0,0.016656459816499027,0.0
192,Exponential function,Logarithm,0,0.5773550460407824,0.5773550460407824
193,Plane curve,Plane (geometry),1,0.07603618140060245,0.0
194,Even and odd functions,Graph of a function,0,0.1024957913755097,0.0
195,Exponentiation,Exponential growth,0,0.13579211677089767,0.13579211677089767
196,Function (mathematics),Real number,0,0.0038630249761919186,0.0038630249761919186
197,Function (mathematics),Monotonic function,0,0.003483911962238929,0.0
198,Quadratic equation,Mathematics,1,1.0,1.0
199,Equation,Differential equation,0,0.0,0.0
200,Geometry,Rotation of axes,0,0.010038339130143036,0.0
201,Vector (mathematics and physics),Calculus,0,1.0,1.0
202,Function (mathematics),Inverse function,0,0.0,0.0
203,Polynomial,Multiplication,1,0.010523740826085495,0.010523740826085495
204,Coordinate system,Rotation of axes,0,0.08630078876866244,0.08630078876866244
205,Matrix ring,Mathematics,1,1.0,1.0
206,Exponential function,Multiplication,1,0.0018603617481514226,0.0018603617481514226
207,Cubic function,Function (mathematics),1,0.08831776706259918,0.0
208,Number,Coordinate system,0,0.016656459816499027,0.016656459816499027
209,Coordinate system,Equation,0,0.02851376861713452,0.02851376861713452
210,Number,System of linear equations,0,0.044072631780966064,0.0
211,Mathematics,Unit circle,0,0.0,0.0
212,Geometry,Line segment,0,0.01892519721484535,0.01892519721484535
213,Zero of a function,Mathematics,1,1.0,1.0
214,Exponentiation,Rational number,0,0.045716636911433337,0.045716636911433337
215,Number,Binomial,0,0.008743321114897696,0.0
216,Trigonometry,Inverse trigonometric functions,0,0.0,0.0
217,Exponentiation,Exponential function,0,0.13579211677089767,0.13579211677089767
218,Logarithm,Addition,0,0.003483129686661183,0.003483129686661183
219,Algebra,Algebraic expression,0,0.0765109867528953,0.0765109867528953
220,Secant line,Line (geometry),1,0.286245646412978,0.0
221,Line (geometry),Conic section,0,0.010038339130143036,0.0
222,Mathematics,Differential equation,0,0.0,0.0
223,Complex number,Identity (mathematics),0,0.03686327296772268,0.0
224,Equation solving,Domain of a function,0,0.06256081370209271,0.0
225,Addition,Matrix ring,0,0.0,0.0
226,Logarithm,Identity (mathematics),0,0.04095919218635853,0.0
227,Mathematics,Cubic function,0,0.0,0.0
228,Mathematics,Identity (mathematics),0,0.0,0.0
229,Equation,System of linear equations,0,0.1052319152586736,0.1052319152586736
230,Mathematics,Logarithm,0,0.0,0.0
231,Geometry,Unit circle,0,0.06562990678121199,0.06562990678121199
232,Rotation (mathematics),Mathematics,1,1.0,1.0
233,Quadratic equation,Nth root,0,0.027181347203316674,0.0
234,Transformation (function),Coordinate system,0,0.027181347203316674,0.0
235,Equation,Geometry,0,0.011877339426256552,0.011877339426256552
236,Trigonometry,Pythagorean trigonometric identity,0,0.020155635287369758,0.0
237,Mathematics,Rotation (mathematics),0,0.0,0.0
238,Algebraic expression,Arithmetic,1,0.047546626831744064,0.047546626831744064
239,Linear function,Mathematics,1,1.0,1.0
240,Complex number,Subtraction,0,0.05260172039512224,0.05260172039512224
241,Vertical line test,Geometry,1,0.011877339426256552,0.0
242,Binomial theorem,Polynomial,1,0.2549850254344783,0.2549850254344783
243,Matrix (mathematics),Vector (mathematics and physics),0,0.014625221048416888,0.0
244,Polynomial,Addition,1,0.0047485028590939365,0.0047485028590939365
245,Binomial,Number,1,0.011678620094063438,0.011678620094063438
246,Linear equation,Line (geometry),1,0.03836625796910545,0.0
247,Zero of a function,Graph of a function,0,0.1024957913755097,0.0
248,Circle,Conic section,0,0.010869917519622341,0.010869917519622341
249,Imaginary number,Real number,1,0.018384036809774875,0.018384036809774875
250,Line segment,Transformation (function),0,0.020978786735308008,0.0
251,Arithmetic,Product (mathematics),0,0.005700382975777104,0.0
252,Matrix ring,Addition,1,0.028509315816833726,0.028509315816833726
253,Geometry,Sine,0,0.028244953032986138,0.028244953032986138
254,Linear equation,Graph of a function,0,0.1024957913755097,0.1024957913755097
255,Geometry,Line (geometry),0,0.038051780444768514,0.038051780444768514
256,Triangle,Geometry,1,0.011877339426256552,0.011877339426256552
257,Equation,Algebraic equation,0,0.007066265228279215,0.007066265228279215
258,Addition,Equation,0,0.044072631780966064,0.0
259,Infinity,Limit (mathematics),0,0.5087397514064993,0.0
260,Vector (mathematics and physics),Position (vector),0,0.01114343060281256,0.0
261,Law of sines,Spherical law of cosines,0,0.057739813079226675,0.057739813079226675
262,Number,Product (mathematics),0,0.004221169671936211,0.0
263,Polynomial,Fundamental theorem of algebra,0,0.020012515444661358,0.020012515444661358
264,Polynomial,Linear function,0,0.009155064644651604,0.009155064644651604
265,Function (mathematics),Limit of a function,0,0.014552718540005512,0.0
266,Fundamental theorem of algebra,Real number,1,0.010543785817370884,0.010543785817370884
267,Algebraic expression,Subtraction,0,0.059176935444512524,0.059176935444512524
268,Cross product,Real number,0,0.06806747806150824,0.06806747806150824
269,Number,Linear inequality,0,0.0,0.0
270,Mathematics,Summation,0,0.0,0.0
271,Linear function,Derivative,0,0.009679540728173602,0.0
272,Linear equation,Complex number,0,0.07795111398334649,0.07795111398334649
273,Transformation (function),Circle,0,0.026493249134474543,0.0
274,Graph of a function,Vertical line test,0,0.05339354225310626,0.0
275,Cross product,Arithmetic,1,0.047546626831744064,0.0
276,Product (mathematics),Arithmetic,1,0.047546626831744064,0.047546626831744064
277,Binomial theorem,Mathematics,1,1.0,1.0
278,Trigonometry,Mathematics,1,1.0,1.0
279,Unit circle,Curve,1,0.06045237685072737,0.0
280,Law of sines,Circle,0,0.3042602478376988,0.3042602478376988
281,Arithmetic,Exponential function,0,0.036393805266710016,0.0
282,Injective function,Inverse function,0,0.0,0.0
283,Right triangle,Geometry,1,0.011877339426256552,0.011877339426256552
284,Mathematics,Transformation (function),0,0.0,0.0
285,Function (mathematics),Inverse trigonometric functions,0,0.0,0.0
286,Algebraic expression,Real number,0,0.02068204141099673,0.0
287,Rational number,Equation solving,0,0.044072631780966064,0.0
288,Plane (geometry),Plane curve,0,0.09394010718349713,0.0
289,Geometric progression,Geometry,0,0.17444842282314313,0.0
290,Multiplication,Polynomial,0,0.027181347203316674,0.027181347203316674
291,Linear equation,Vertical line test,0,0.027181347203316674,0.0
292,Mathematics,Multiplicative inverse,0,0.0,0.0
293,Function (mathematics),Inequality (mathematics),0,0.0,0.0
294,Even and odd functions,Function (mathematics),1,0.21484726330336454,0.0
295,Circle,Line (geometry),1,0.044072631780966064,0.0
296,Identity (mathematics),Mathematics,1,1.0,1.0
297,Coordinate system,Number,1,0.044777013448206365,0.044777013448206365
298,Equation,Function (mathematics),0,0.1578478728880104,0.0
299,Matrix (mathematics),Matrix ring,0,0.01802283182819792,0.01802283182819792
300,Binomial,Calculus,0,1.0,1.0
301,Cross product,Mathematics,1,1.0,1.0
302,Sum,Arithmetic,1,0.047546626831744064,0.047546626831744064
303,Multiplication,Product (mathematics),0,0.004221169671936211,0.004221169671936211
304,Exponentiation,Identity (mathematics),0,0.020978786735308008,0.0
305,Arithmetic,Matrix ring,0,0.009110026012909151,0.0
306,Floor and ceiling functions,Series (mathematics),0,0.04949126835362287,0.0
307,Real number,Graph of a function,0,0.007000006947046879,0.0
308,Polynomial,Binomial,0,0.002680783683051453,0.002680783683051453
309,Mathematics,Exponential function,0,0.0,0.0
310,Number,Cross product,0,0.0,0.0
311,Complex number,Rational number,0,0.022568972652479747,0.022568972652479747
