,Unnamed: 0,concept,type,book1_title,book1_content,book2_title,book2_content,book3_title,book3_content,book1_fs,book1_fo
0,50,Hardness,0,,7.1,,12.3.2,,22.4.1,,7.1
1,69,Hertz,0,,2.3,,15.2.1,,30.5,,2.3
2,68,Electrical polarity,0,,8.3.3,,17.5.1,,,,8.3.3
3,80,Stiffness,0,,,,13.3.1,,22.4.1,,
4,86,Tangential and normal components,0,,,,12.6.1,,,,
5,113,Friction,0,,4.2.2,,12.2.2,,23.3.2,,4.2.2
6,58,Virtual image,0,,7.5.1,,13.2.2,,,,7.5.1
7,112,Ohm,0,,10.4.1,,19.2.1,,29.2,,10.4.1
8,92,Joule,0,,2.4,,19.5,,23.2,,2.4
9,14,Real image,0,,7.5.1,,13.2.1,,,,7.5.1
10,29,Crystallinity,0,,,,13.3.1,,22.4.2,,
11,128,Gravitational constant,0,,,,12.4.1,,,,
12,6,Angle of incidence,0,,7.3.2,,,,,,7.3.2
13,106,Kilogram,0,,2.4,,12.3.2,,,,2.4
14,2,Coulomb,0,,9.3,,12.2.2,,,,9.3
15,100,Physical quantity,0,,2.1,,12.5,,23.2,,2.1
16,104,Temperature,0,,2.1,,15.3,,22.4.3,,2.1
17,102,Planet,0,,4.1.1,,13.5,,,,4.1.1
18,123,Interference (wave propagation),1,,6.4.6,,,26.4,30.6.4,,6.4.6
19,66,Electromotive force,1,10.2.5,10.2.5,,18.3,,28.2.1,10.2.5,10.2.5
20,64,Inelastic collision,1,,,,,21.4.2,,,
21,57,Optical microscope,1,,7.1,13.6,13.6,,27.3,,7.1
22,62,Insulator (electricity),1,,9.5,20.2.2,20.2,,29.4.3,,9.5
23,56,Position (vector),1,3.2.2,3.1,,11.6.2,,23.2,3.2.2,3.2.2
24,60,Snell's law,1,7.4.2,7.4.2,,,,,7.4.2,7.4.2
25,59,Geometrical optics,1,7,7.1,13,13.2,,31.2.2,7,7
26,71,Huygensâ€“Fresnel principle,1,,,,,26.3,26.3,,
27,55,Elastic collision,1,,,,,21.4.1,,,
28,126,Electrical resistance and conductance,1,10.4,4.5.1,19.3,19.2.1,,29.2,10.4,10.4
29,127,Acceleration,1,3.5,3.5,,,,,3.5,3.5
30,151,Total internal reflection,1,7.6.1,,,,,,7.6.1,7.6.1
31,73,Magnetic field,1,8.2,,,,,,8.2,8.2
32,101,Direction (geometry),1,,3.2.1,11.4,11.2,,23.2,,3.2.1
33,99,Refractive index,1,7.4.1,,,,,,7.4.1,7.4.1
34,107,Energy,1,,4.3,,15.4.1,23.3,21.4.1,,4.3
35,108,Equations of motion,1,3.9,,,,21.2.2,21.2.2,3.9,3.9
36,93,Electromagnetic spectrum,1,,,,,30.4,30.4,,
37,90,Specular reflection,1,7.3.2,7.3.2,,,,31.2.2,7.3.2,7.3.2
38,89,Capacitance,1,,,,17.5.1,28.4.1,28.4.1,,
39,72,Color,1,,,,20.2,25,24.3,,
40,87,Electromagnetic radiation,1,,,,,30,25.1,,
41,83,Gravitational field,1,4.2.1,4.2.2,,12.4,,21.2.1,4.2.1,4.2.1
42,82,Plane mirror,1,7.5.2,7.5,,13.5.2,,,7.5,7.5
43,116,Power (physics),1,,10.1,,17.6.2,23.4,23.1,,10.1
44,51,Newton's law of universal gravitation,1,,,12.4.1,17.2,,,,
45,118,Euclidean vector,1,,3.3,11,11.1,,23.2,,3.3
46,119,Free fall,1,4.2.2,4.2.2,,12.3.2,,21.2,4.2.2,4.2.2
47,74,Voltage,1,10.2,10.2.1,,17.4.1,,28.3,10.2,10.2
48,85,Magnetism,1,8,,,,,,8,8
49,117,Reflection (physics),1,7.3,5.5,,13.5.2,,24.2.1,7.3,7.3
50,105,Electrostatics,1,9,9.5,17,12.2.2,,,9,9
51,48,Telescope,1,,7.1,13.5,13.5,,24.3.1,,7.1
52,131,Ohmmeter,1,10.5.3,10.5.3,,,,,10.5.3,10.5.3
53,24,Mechanical energy,1,4.5.1,4.5,,,,23.3.1,4.5.1,4.5.1
54,22,Hooke's law,1,,,,,22.2.1,22.2.1,,
55,21,Electric potential,1,,10.2.1,17.4.1,17.4.1,,,,10.2.1
56,19,Relative velocity,1,,,,,21.5.4,,,
57,140,Voltmeter,1,10.5.1,10.5,,19.5,,,10.5,10.5
58,17,Newton's laws of motion,1,,3.9,12.3,12.3.1,,21.5.2,,3.9
59,141,Series and parallel circuits,1,10.3.4,10.1.2,,19.3,,29.2,10.1.2,10.1.2
60,142,Kinetic energy,1,4.4,4.5.2,,,,23.3.1,4.4,4.4
61,137,Capacitor,1,,,,17.5.1,28.4.1,28.4,,
62,143,Curved mirror,1,7.5.4,7.5,,13.2,,31.5.2,7.5,7.5
63,145,Free body diagram,1,,,12.2.5,12.2.6,,,,
64,10,Potential energy,1,4.3,4.3,,17.4.1,,23.3.1,4.3,4.3
65,9,Emission spectrum,1,,,,,31.4.1,31.4.1,,
66,146,Electric current,1,10.3,10.3.1,,17.4.2,,21.4.2,10.3,10.3
67,147,Ammeter,1,10.5.2,10.4.2,,,,,10.5.2,10.5.2
68,5,Refraction,1,7.4,7.4,,13.5.1,,25.2.1,7.4,7.4
69,148,Magnification,1,7.5.8,7.5.8,,13.2.1,,27.3,7.5.8,7.5.8
70,149,Scalar multiplication,1,,,11.6.3,,,,,
71,1,Absorption spectroscopy,1,,,,,31.4.2,31.4.2,,
72,144,Physics,1,,2.2.2,,11.1,,21.4.2,,2.2.2
73,27,Work (physics),1,,2.5.3,,12.3.2,23.2,21.4.2,,2.5.3
74,25,Resonance (particle physics),1,,,16.4,16.4,,29.3.2,,
75,134,Ohm's law,1,10.2.4,,19.2,,,,10.2.4,10.2.4
76,133,Frame of reference,1,3.2.1,3.2.1,,12.2.6,21.5,21.5.1,3.2.1,3.2.1
77,39,Laser,1,,7.6.2,,,31.5,31.5,,7.6.2
78,42,Dielectric,1,,,17.5.2,17.5.2,,,,
79,37,Sound,1,,5.2,15,14.5,,24.2,,5.2
80,36,Photoelectric effect,1,,,,,31.3,31.3,,
81,132,Musical tone,1,,,15.2.3,16.2,,,,
82,35,Torque,1,,,12.6.1,12.6.1,,28.2.2,,
83,44,Doppler effect,1,,,,,24,24.1,,
84,45,Standing wave,1,6.4.3,6.4.3,,16.1,,,6.4.3,6.4.3
85,46,Force,1,,3.9,12.2,11.6.1,,21.3,,3.9
86,135,Pitch (music),1,,,15.2.1,15.2,,24.1,,
87,33,Electroscope,1,9.6.1,9.6.1,,,,,9.6.1,9.6.1
88,32,Transverse wave,1,6.2,,,,,,6.2,6.2
89,31,Diffraction,1,,,,14.5,26.5,26.5,,
90,30,Gravitational acceleration,1,4.2,,,,,,4.2,4.2
91,47,Refracting telescope,1,,,13.5.1,,,,,
92,41,Sound intensity,1,,,15.4.1,,,,,
93,129,Length,2,5.3.1,2.1,,11.5,,23.4,2.1,2.1
94,109,Dispersion (optics),2,,,,,25.2.1,,,
95,122,Field (physics),2,4.2.1,8.1,17.3.1,12.4,21.2.1,21.4.2,4.2.1,4.2.1
96,111,Fatigue (material),2,,,,,22.3.2,22.3.2,,
97,136,Compass,2,8.4,8.3.3,11.4.2,11.4.2,,,8.4,8.4
98,125,Crest (physics),2,6.2.1,6.2.1,,14.3,,26.2,6.2.1,6.2.1
99,124,Field line,2,,,17.3.1,,,,,
100,115,Projectile motion,2,,,,,21.2.3,21.2.3,,
101,139,Motion,2,3,3.1,12.3.2,12.1,21,21.1,3,3
102,138,Resultant force,2,,,12.2.6,,,,,
103,120,Electrical conductor,2,9.6,9.5,19.2.2,17.2,,28.1,9.6,9.6
104,110,Ray (optics),2,7.2.2,7.1,,13.2,30.6.3,30.6.1,7.2.2,7.2.2
105,130,Gravity of Earth,2,4.2,,,,,,4.2,4.2
106,0,Sonic boom,2,,,,,26.6,26.6.2,,
107,53,Wave,2,6.4.3,5.1,14,14.1,30.3,24.2,6.4.3,6.4.3
108,49,Le Sage's theory of gravitation,2,4,,,,,,4,4
109,43,Coulomb's law,2,,,17.2,,,,,
110,40,Electric field,2,,8.2,17.3,17.3,,30.3,,8.2
111,38,Elasticity (physics),2,,,,,22.3.1,21.4,,
112,34,Strength of materials,2,,8.3.3,,12.4,22.4,22.4.1,,8.3.3
113,28,Speed,2,3.4,2.5.3,14.3.4,14.3.4,,21.5.3,3.4,3.4
114,26,Amplitude,2,5.3.1,5.3.1,14.3.2,14.3.2,,24.2,5.3.1,5.3.1
115,23,Mass,2,4.1.1,2.9,12.4,12.2.2,,23.3.2,4.1.1,4.1.1
116,52,Intensity (physics),2,,,15.4.1,,,,,
117,20,Frequency,2,6.2.4,6.2.4,14.3.3,14.3.3,,24.2,6.2.4,6.2.4
118,16,Light,2,7.2,2.5.3,,13.2,24.3,21.5.3,7.2,7.2
119,15,Velocity,2,3.4,3.1,14.4,11.2,21.5.4,21.2.1,3.4,3.4
120,13,Plasticity (physics),2,,8.2,,20.1,22.3.1,22.2.2,,8.2
121,11,Energy level,2,,4.5.1,,20.2,31.2.1,31.2.1,,4.5.1
122,8,Wavelength,2,6.2.2,6.2.2,14.3.2,14.3.2,27.2,24.2,6.2.2,6.2.2
123,7,Electric potential energy,2,,4.3,17.4,17.4.1,,,,4.3
124,4,Gravity,2,4.2,4.1,,12.2.2,,21.2.2,4.1,4.1
125,3,Magnet,2,8.3,8.1,,12.2.1,,27.3,8.3,8.3
126,18,Motion graphs and derivatives,2,6.3,6.3,14.4,14.4,21.2.3,21.2.3,6.3,6.3
127,103,Scalar (mathematics),2,,3.3.2,11.2,11.2,,,,3.3.2
128,75,Lever,2,,,12.6,12.6.2,,,,
129,77,Distance,2,3.3,2.1,,12.4.1,,24.2,3.3,3.3
130,88,Subtractive color,2,,,,,25.3.2,,,
131,95,Electric charge,2,9.2,8.3.1,17.2,12.2.2,,28.2.2,9.2,9.2
132,84,Collision,2,,10.4.1,,12.5.8,21.4,21.4.1,,10.4.1
133,54,Scattering,2,,,,,31.2,31.2.2,,
134,79,Metre,2,10.5.4,2.1,,12.6.2,,22.4.1,2.1,2.1
135,78,Electron,2,,8.2,,17.6.1,27.3,27.2,,8.2
136,94,Displacement (vector),2,3.3,3.1,14.4,11.6,,21.2,3.3,3.3
137,91,Deformation (engineering),2,,,,,22.2,22.3.2,,
138,150,Compression (physics),2,,,14.3.1,12.5.9,,22.2.1,,
139,70,Fracture,2,,,,,22.3,22.2.2,,
140,67,Rarefaction,2,,,14.3.1,14.3,,,,
141,97,Pigment,2,,,,,25.4.3,25.3.4,,
142,63,Creep (deformation),2,,,,,22.3.2,22.3.2,,
143,76,Shock wave,2,,,,,26.6,,,
144,96,Mirror image,3,7.5,7.3,,,,26.4,7.5,7.5
145,61,Normal force,3,,,12.2,,,,,
146,81,Non-inertial reference frame,3,3.2.1,,,,21.5.2,21.5.2,3.2.1,3.2.1
147,114,Phase velocity,3,,,11,,,,,
148,121,Transmission medium,3,5.2,,,,,,5.2,5.2
149,65,Contact force,3,,,12.2.1,,,,,
150,12,Inertial frame of reference,3,3.2.1,,,,21.5.2,21.5.2,3.2.1,3.2.1
151,98,Tension (physics),3,,4.5.1,12.2,12.3.6,,22.2.1,,4.5.1
